municipality,municipalityName,provinceName,wd,numSpaces,avgCapacity,population,coord,officialWebsite,wikidataLabel,wikidataLat,wikidataLon,spacesPer100k
http://example.org/resource/concello/Ourense,Ourense,Ourense,http://www.wikidata.org/entity/Q99151,3,572.6666666666666,105769.0,Point(-7.86406 42.33556),http://www.ourense.gal/gl/,Orense,42.33556,-7.86406,2.8363698248068907
http://example.org/resource/concello/Santiago%20de%20Compostela,Santiago de Compostela,A Coruña Province,http://www.wikidata.org/entity/Q14314,3,355.3333333333333,100965.0,Point(-8.533333333 42.883333333),https://santiagodecompostela.gal/,Santiago de Compostela,42.883333333,-8.533333333,2.971326697370376
http://example.org/resource/concello/Cangas,Cangas,Pontevedra Province,http://www.wikidata.org/entity/Q1628188,2,722.0,26711.0,Point(-8.789840959 42.27790245),http://www.cangas.org/,Cangas de Morrazo,42.27790245,-8.789840959,7.487551944891617
http://example.org/resource/concello/Vilagarc%C3%ADa%20de%20Arousa,Vilagarcía de Arousa,Pontevedra Province,http://www.wikidata.org/entity/Q1442637,2,722.0,37888.0,Point(-8.743064672 42.5950581),https://vilagarcia.gal,Villagarcía de Arosa,42.5950581,-8.743064672,5.278716216216217
http://example.org/resource/concello/Nar%C3%B3n,Narón,A Coruña Province,http://www.wikidata.org/entity/Q1368896,2,642.0,39953.0,Point(-8.1925768 43.5010716),https://www.naron.es/,Narón,43.5010716,-8.1925768,5.005881911245714
http://example.org/resource/concello/Pontevedra,Pontevedra,Pontevedra Province,http://www.wikidata.org/entity/Q12411,2,593.0,83316.0,Point(-8.6475 42.433611111),https://pontevedra.gal/,Pontevedra,42.433611111,-8.6475,2.400499303855202
http://example.org/resource/concello/A%20Coru%C3%B1a,A Coruña,A Coruña Province,http://www.wikidata.org/entity/Q8757,2,481.0,251543.0,Point(-8.400027032 43.37385694),https://www.coruna.gal/,La Coruña,43.37385694,-8.400027032,0.7950926879300956
http://example.org/resource/concello/Ames,Ames,A Coruña Province,http://www.wikidata.org/entity/Q1353997,2,183.0,33276.0,Point(-8.65 42.86),https://www.concellodeames.gal,Ames,42.86,-8.65,6.010337780983291
http://example.org/resource/concello/Lugo,Lugo,Lugo Province,http://www.wikidata.org/entity/Q11125,1,850.0,100143.0,Point(-7.557222222 43.011666666),http://concellodelugo.gal/,Lugo,43.011666666,-7.557222222,0.9985720419799686
http://example.org/resource/concello/Burela,Burela,Lugo Province,http://www.wikidata.org/entity/Q1619456,1,824.0,9630.0,Point(-7.3582092 43.6604617),http://www.burela.org,Burela,43.6604617,-7.3582092,10.384215991692628
http://example.org/resource/concello/Ferrol,Ferrol,A Coruña Province,http://www.wikidata.org/entity/Q485329,1,556.0,64367.0,Point(-8.232777777 43.484444444),https://www.ferrol.gal/,Ferrol,43.484444444,-8.232777777,1.553591125887489
http://example.org/resource/concello/Tui,Tui,Pontevedra Province,http://www.wikidata.org/entity/Q824122,1,554.0,17468.0,Point(-8.644444 42.048056),https://tui.gal/,Tuy,42.048056,-8.644444,5.72475383558507
